gene_name	transcript_id	strand	nreads	ntranscripts	nFSM	nISM	nNIC	nNNC	nFSMreads	nISMreads	nNICreads	nNNCreads
A1BG	ENST00000263100.8	-	2415	13	5	1	0	7	2299	2	0	114
A2M	ENST00000318602.12	-	5836	190	5	45	7	133	1388	2839	25	1584
A2ML1	ENST00000299698.12	+	95	26	1	13	4	8	3	43	19	30
A4GALT	ENST00000642412.2	-	72	7	4	1	1	1	60	4	5	3
AAAS	ENST00000209873.9	-	9099	300	12	36	61	191	4873	1561	457	2208
AACS	ENST00000316519.11	+	6222	239	9	66	89	75	2325	1946	1508	443
AADAT	ENST00000337664.9	-	2659	165	18	59	29	59	923	968	368	400
AAGAB	ENST00000261880.10	-	8185	150	19	35	4	92	6015	781	27	1362
AAK1	ENST00000409085.9	-	142	37	3	17	1	16	11	80	5	46
AAMDC	ENST00000393427.7	+	3186	75	12	15	32	16	2274	317	538	57
AAMP	ENST00000248450.9	-	28892	266	18	28	41	179	23519	2662	957	1754
AANAT	ENST00000392492.8	+	23	5	1	0	0	4	2	0	0	21
AAR2	ENST00000320849.9	+	6724	85	31	23	4	27	4464	1993	38	229
AARD	ENST00000378279.4	+	105	9	6	0	0	3	98	0	0	7
AARS1	ENST00000261772.13	-	22799	449	26	91	20	310	11201	9376	100	2118
AARS2	ENST00000244571.5	-	797	103	6	65	13	19	92	379	48	278
AARSD1	ENST00000427569.7	-	12507	250	19	31	89	111	7178	2624	1730	975
AASDH	ENST00000205214.11	-	1566	147	11	69	30	36	513	495	275	279
AASDHPPT	ENST00000278618.9	+	38150	224	18	40	12	154	35581	1525	143	901
AASS	ENST00000417368.7	-	581	76	9	48	3	16	92	327	18	144
AATF	ENST00000619387.5	+	3605	76	5	12	0	59	35	194	0	3376
AATK	ENST00000326724.9	-	762	16	0	9	0	7	0	734	0	28
ABAT	ENST00000268251.13	+	5606	355	38	102	31	184	1449	1813	406	1938
ABCA1	ENST00000374736.8	-	394	64	0	56	1	7	0	313	7	74
ABCA10	ENST00000690296.1	-	209	16	0	15	0	1	0	206	0	3
ABCA12	ENST00000272895.12	-	10	3	0	3	0	0	0	10	0	0
ABCA2	ENST00000341511.11	-	5062	98	2	41	6	49	439	4448	18	157
ABCA3	ENST00000301732.10	-	4973	115	1	59	4	51	86	4540	44	303
ABCA4	ENST00000370225.4	-	30	10	0	4	3	3	0	11	12	7
ABCA5	ENST00000392676.8	-	1705	178	16	81	2	79	563	680	8	454
ABCA6	ENST00000284425.7	-	91	15	1	10	1	3	6	73	2	10
ABCA7	ENST00000263094.11	+	1939	88	2	57	9	20	4	1804	26	105
ABCA8	ENST00000586539.6	-	316	38	3	28	2	5	6	242	26	42
ABCA9	ENST00000340001.9	-	45	11	0	9	0	2	0	41	0	4
ABCB1	ENST00000622132.5	-	877	71	5	46	4	16	57	684	11	125
ABCB10	ENST00000344517.5	-	797	54	6	35	1	12	25	729	3	40
ABCB4	ENST00000649586.2	-	125	23	1	12	6	4	14	52	45	14
ABCB6	ENST00000265316.9	-	3384	176	20	38	74	44	1401	1226	594	163
ABCB7	ENST00000373394.8	-	2318	124	16	62	10	36	1302	753	54	209
ABCB8	ENST00000358849.9	+	2373	151	9	74	31	37	948	1015	198	212
ABCB9	ENST00000280560.13	-	724	67	5	24	11	27	280	281	48	115
ABCC1	ENST00000399410.8	+	140	30	1	23	0	6	2	115	0	23
ABCC10	ENST00000372530.9	+	995	119	1	66	15	37	17	681	133	164
ABCC11	ENST00000356608.7	-	10	4	1	1	0	2	2	4	0	4
ABCC12	ENST00000311303.8	-	1316	50	0	39	4	7	0	1177	43	96
ABCC2	ENST00000647814.1	+	2	1	0	1	0	0	0	2	0	0
ABCC3	ENST00000285238.13	+	7	2	1	1	0	0	5	2	0	0
ABCC4	ENST00000645237.2	-	359	48	0	43	2	3	0	319	34	6
ABCC5	ENST00000334444.11	-	5441	186	26	92	13	55	2573	1727	247	894
ABCC6	ENST00000205557.12	-	29	5	4	0	0	1	27	0	0	2
ABCC8	ENST00000389817.8	-	1160	88	3	27	1	57	107	529	2	522
